nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Quantum Theory,PS3,Shooter,Tecmo Koei,0.17,28-Sep-10,43,34,5.5,16,Tecmo
Majin and the Forsaken Kingdom,X360,Adventure,Namco Bandai Games,0.17,23-Nov-10,74,46,8.6,19,Game Republic
International Cricket 2010,PS3,Sports,Codemasters,0.17,,,,,,
DarkStar One: Broken Alliance,X360,Simulation,Kalypso Media,0.17,13-Jul-10,63,33,7.8,17,Gaming Minds Studios
Doctor Who: Return to Earth,Wii,Adventure,Asylum Entertainment,0.17,,,,,,
Gundam Assault Survive,PSP,Simulation,Namco Bandai Games,0.17,,,,,,
Body and Brain Connection,X360,Misc,Namco Bandai Games,0.17,8-Feb-11,57,33,tbd,,Namco Bandai Games
Dante's Inferno,PSP,Action,Electronic Arts,0.17,1-Mar-10,70,14,8.3,35,EA Redwood Shores
Plants vs. Zombies,X360,Strategy,PopCap Games,0.17,28-Sep-10,89,27,8.2,136,PopCap
World of Outlaws: Sprint Cars,X360,Racing,THQ,0.17,9-Feb-10,57,4,8.9,8,Big Ant Studios
Pure Futbol,X360,Sports,Ubisoft,0.16,1-Jun-10,38,20,7.8,25,Ubisoft Vancouver
DanceMasters,X360,Misc,Konami Digital Entertainment,0.16,4-Nov-10,63,30,5.5,6,GCP1
Ben 10 Ultimate Alien: Cosmic Destruction,X360,Platform,D3Publisher,0.16,19-Oct-10,51,5,tbd,,Papaya Studios
Eiyuu Densetsu: Zero no Kiseki,PSP,Role-Playing,Falcom Corporation,0.16,,,,,,
Jillian Michaels Fitness Ultimatum 2011,Wii,Sports,D3Publisher,0.16,16-Nov-10,,,tbd,,D3
Shrek: Forever After,PS3,Platform,Activision,0.16,18-May-10,57,11,tbd,,Xpec
Brunswick Cosmic Bowling,Wii,Sports,GameMill Entertainment,0.16,10-Sep-10,,,tbd,,CokeM Interactive
MotoGP 09/10,X360,Racing,Capcom,0.16,23-Mar-10,69,41,5.7,41,Monumental Games
Hot Wheels: Track Attack,Wii,Racing,THQ,0.16,23-Nov-10,,,tbd,,THQ
Splatterhouse,X360,Action,Namco Bandai Games,0.16,23-Nov-10,62,51,7.6,49,Namco Bandai Games America
Battle of Giants: Dinosaurs Strike,Wii,Strategy,Ubisoft,0.16,9-Nov-10,,,tbd,,Ubisoft Quebec
Chuck E. Cheese's Party Games,Wii,Misc,UFO Interactive,0.16,2-Aug-10,,,tbd,,UFO Interactive
N3 II: Ninety-Nine Nights,X360,Action,Microsoft Game Studios,0.16,,,,,,
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PSP,Sports,Konami Digital Entertainment,0.16,,,,,,
Naval Assault: The Killing Tide,X360,Simulation,505 Games,0.16,15-Jun-10,40,11,tbd,,Artech Studios
No More Heroes: Heroes' Paradise,PS3,Action,Konami Digital Entertainment,0.16,16-Aug-11,72,38,7.4,30,FeelPlus
Dynasty Warriors: Gundam 3,X360,Action,Tecmo Koei,0.16,28-Jun-11,65,27,7.8,19,Koei Tecmo Games
CSI: Fatal Conspiracy,PS3,Adventure,Ubisoft,0.15,26-Oct-10,39,5,4.5,4,Telltale Games
Shawn Johnson Gymnastics,Wii,Sports,Zoo Games,0.15,16-Nov-10,,,tbd,,Zoo Games
Lips: Party Classics,X360,Misc,Microsoft Game Studios,0.15,2-Mar-10,69,10,tbd,,iNiS
Despicable Me: The Game,PSP,Platform,D3Publisher,0.15,,,,,,
CSI: Fatal Conspiracy,X360,Adventure,Ubisoft,0.15,26-Oct-10,42,9,tbd,,Telltale Games
Schlag den Raab,Wii,Misc,Namco Bandai Games,0.15,,,,,,
Family Feud Decades,Wii,Misc,Ubisoft,0.15,9-Nov-10,,,tbd,,Ludia
Family Party: Fitness Fun,Wii,Sports,D3Publisher,0.15,21-Sep-10,,,tbd,,Tamsoft
Apache: Air Assault,PS3,Simulation,Activision,0.15,16-Nov-10,66,17,4.7,7,Gaijin Entertainment
Rudolph the Red-Nosed Reindeer,Wii,Action,Crave Entertainment,0.15,11-Nov-10,,,tbd,,High Voltage Software
SBK X: Superbike World Championship,X360,Racing,Black Bean Games,0.15,7-Dec-10,74,14,8.3,8,Milestone S.r.l
